"Date","Start.Time","End.Time","Journey.Action","Charge","Credit","Balance","Note"
"03-Oct-2014","12:54","13:08","Canary Wharf [London Underground] to Waterloo (platforms 12-19) [National Rail]",0,NA,11.2,""
"03-Oct-2014","07:24","08:04","Richmond to Canary Wharf [London Underground]",0,NA,11.2,""
"02-Oct-2014","17:15","17:53","Canary Wharf [London Underground] to Richmond",0,NA,11.2,""
"02-Oct-2014","07:26","08:10","Richmond to Canary Wharf [London Underground]",0,NA,11.2,""
"01-Oct-2014","20:16","20:16","Entered and exited Waterloo (platforms 12-19) [National Rail]",0,NA,11.2,""
"01-Oct-2014","16:42","17:06","Canary Wharf [London Underground] to Goodge Street",0,NA,11.2,""
"01-Oct-2014","07:19","08:07","Richmond to Canary Wharf [London Underground]",0,NA,11.2,""
"01-Oct-2014","07:18","","Season ticket bought",0,NA,11.2,""
"30-Sep-2014","16:15","16:53","Canary Wharf [London Underground] to Richmond",0,NA,11.2,""
"30-Sep-2014","07:20","08:08","Richmond to Canary Wharf [London Underground]",0,NA,11.2,""
"29-Sep-2014","18:17","18:56","Canary Wharf [London Underground] to Richmond",0,NA,11.2,""
"29-Sep-2014","10:11","10:49","Richmond to Canary Wharf [London Underground]",0,NA,11.2,""
"10-Oct-2014","21:55","22:18","Waterloo (platforms 12-19) [National Rail] to Richmond",0,NA,11.2,NA
"10-Oct-2014","17:50","18:06","Canary Wharf [London Underground] to Waterloo (Jubilee line entrance)",0,NA,11.2,NA
"10-Oct-2014","07:23","08:09","Richmond to Canary Wharf [London Underground]",0,NA,11.2,NA
"09-Oct-2014","15:38","16:18","Canary Wharf [London Underground] to Richmond",0,NA,11.2,NA
"09-Oct-2014","07:24","08:09","Richmond to Canary Wharf [London Underground]",0,NA,11.2,NA
"08-Oct-2014","21:30","22:09","Canary Wharf [London Underground] to Richmond",0,NA,11.2,NA
"08-Oct-2014","10:42","10:55","Bank to Canary Wharf DLR",0,NA,11.2,NA
"08-Oct-2014","08:59","09:42","Richmond to Bank",0,NA,11.2,NA
"08-Oct-2014","08:59","","Season ticket bought",0,NA,11.2,NA
"06-Oct-2014","16:55","17:34","Canary Wharf [London Underground] to Richmond",0,NA,11.2,NA
"06-Oct-2014","07:23","08:32","Richmond to Canary Wharf [London Underground]",0,NA,11.2,NA
"18-Oct-2014","22:43","23:21","Warren Street to Richmond",0,NA,11.2,NA
"18-Oct-2014","19:27","","Bus journey, route 91",0,NA,11.2,NA
"18-Oct-2014","16:24","17:14","Richmond to Caledonian Road and Barnsbury",0,NA,11.2,NA
"17-Oct-2014","22:37","23:29","West Hampstead [London Underground] to Richmond",0,NA,11.2,NA
"17-Oct-2014","18:16","18:45","Canary Wharf [London Underground] to West Hampstead [London Underground]",0,NA,11.2,NA
"17-Oct-2014","07:22","08:06","Richmond to Canary Wharf [London Underground]",0,NA,11.2,NA
"16-Oct-2014","18:18","18:53","Canary Wharf [London Underground] to Richmond",0,NA,11.2,NA
"16-Oct-2014","07:15","08:06","Richmond to Canary Wharf [London Underground]",0,NA,11.2,NA
"15-Oct-2014","17:26","18:08","Canary Wharf [London Underground] to Richmond",0,NA,11.2,NA
"15-Oct-2014","07:18","08:03","Richmond to Canary Wharf [London Underground]",0,NA,11.2,NA
"15-Oct-2014","07:17","","Season ticket bought",0,NA,11.2,NA
"14-Oct-2014","18:21","19:04","Canary Wharf [London Underground] to Richmond",0,NA,11.2,NA
"14-Oct-2014","07:20","08:06","Richmond to Canary Wharf [London Underground]",0,NA,11.2,NA
"13-Oct-2014","18:19","19:05","Canary Wharf [London Underground] to Richmond",0,NA,11.2,NA
"13-Oct-2014","07:16","08:12","Richmond to Canary Wharf [London Underground]",0,NA,11.2,NA
"26-Oct-2014","23:46","","Bus journey, route 135",0,NA,11.2,NA
"26-Oct-2014","23:10","23:37","Tottenham Court Road to Canary Wharf [London Underground]",0,NA,11.2,NA
"26-Oct-2014","20:32","20:55","Canary Wharf [London Underground] to Tottenham Court Road",0,NA,11.2,NA
"26-Oct-2014","20:20","","Bus journey, route D7",0,NA,11.2,NA
"26-Oct-2014","16:22","17:00","Richmond to Canary Wharf [London Underground]",0,NA,11.2,NA
"25-Oct-2014","21:50","22:18","Waterloo (platforms 12-19) [National Rail] to Richmond",0,NA,11.2,NA
"25-Oct-2014","20:44","21:31","Catford Bridge [National Rail] to Charing Cross [National Rail]",0,NA,11.2,NA
"25-Oct-2014","13:04","14:37","Richmond to Catford Bridge [National Rail]",0,NA,11.2,NA
"24-Oct-2014","18:03","18:49","Canary Wharf [London Underground] to Richmond",0,NA,11.2,NA
"24-Oct-2014","06:52","07:37","Richmond to Canary Wharf [London Underground]",0,NA,11.2,NA
"23-Oct-2014","17:55","18:40","Canary Wharf [London Underground] to Richmond",0,NA,11.2,NA
"23-Oct-2014","06:49","07:38","Richmond to Canary Wharf [London Underground]",0,NA,11.2,NA
"22-Oct-2014","18:33","19:20","Canary Wharf [London Underground] to Richmond",0,NA,11.2,NA
"22-Oct-2014","07:00","07:50","Richmond to Canary Wharf [London Underground]",0,NA,11.2,NA
"22-Oct-2014","06:59","","Season ticket bought",0,NA,11.2,NA
"21-Oct-2014","21:11","21:35","Waterloo (platforms 12-19) [National Rail] to Richmond",0,NA,11.2,NA
"21-Oct-2014","18:26","18:46","Canary Wharf [London Underground] to Charing Cross [London Underground]",0,NA,11.2,NA
"21-Oct-2014","06:56","07:40","Richmond to Canary Wharf [London Underground]",0,NA,11.2,NA
"20-Oct-2014","15:13","15:51","Oxford Circus to Richmond",0,NA,11.2,NA
"20-Oct-2014","13:59","14:41","Richmond to Oxford Circus",0,NA,11.2,NA
"20-Oct-2014","12:51","13:37","Canary Wharf [London Underground] to Richmond",0,NA,11.2,NA
"20-Oct-2014","07:01","07:48","Richmond to Canary Wharf [London Underground]",0,NA,11.2,NA
"31-Oct-2014","17:24","18:04","Canary Wharf [London Underground] to Richmond",0,NA,11.2,NA
"31-Oct-2014","07:18","08:08","Richmond to Canary Wharf [London Underground]",0,NA,11.2,NA
"30-Oct-2014","17:38","18:10","Waterloo (platforms 12-19) [National Rail] to Richmond",0,NA,11.2,NA
"30-Oct-2014","17:18","17:37","Canary Wharf [London Underground] to Waterloo (platforms 12-19) [National Rail]",0,NA,11.2,NA
"30-Oct-2014","07:23","08:05","Richmond to Canary Wharf [London Underground]",0,NA,11.2,NA
"29-Oct-2014","17:43","18:25","Canary Wharf [London Underground] to Richmond",0,NA,11.2,NA
"29-Oct-2014","07:20","08:09","Richmond to Canary Wharf [London Underground]",0,NA,11.2,NA
"29-Oct-2014","07:20","","Season ticket bought",0,NA,11.2,NA
"28-Oct-2014","17:17","17:53","Canary Wharf [London Underground] to Richmond",0,NA,11.2,NA
"28-Oct-2014","07:25","08:06","Richmond to Canary Wharf [London Underground]",0,NA,11.2,NA
"27-Oct-2014","18:00","18:39","Canary Wharf [London Underground] to Richmond",0,NA,11.2,NA
"07-Nov-2014","17:43","18:29","Canary Wharf [London Underground] to Richmond",5.3,NA,2,""
"07-Nov-2014","08:05","08:05","[Unspecified location] to Canary Wharf [London Underground]",1.6,NA,7.3,"We have recorded a touch in for this journey but are unable to show the location."
"07-Nov-2014","07:18","07:49","Richmond to Waterloo (platforms 12-19) [National Rail]",3.7,NA,8.9,""
"06-Nov-2014","19:42","20:55","Canary Wharf DLR to Richmond",2.7,NA,12.6,""
"06-Nov-2014","07:59","07:59","[Unspecified location] to Canary Wharf [London Underground]",1.6,NA,15.3,"We have recorded a touch in for this journey but are unable to show the location."
"06-Nov-2014","07:12","07:41","Richmond to Waterloo (platforms 12-19) [National Rail]",3.7,NA,16.9,""
"05-Nov-2014","17:35","18:23","Canary Wharf [London Underground] to Richmond",5.3,NA,20.6,""
"05-Nov-2014","07:12","07:56","Richmond to Canary Wharf [London Underground]",5.3,NA,25.9,""
"05-Nov-2014","07:11","","Topped up,  ",NA,20,31.2,""
"04-Nov-2014","07:11","07:52","Richmond to Canary Wharf [London Underground]",0,NA,11.2,""
"03-Nov-2014","18:01","19:15","Canary Wharf [London Underground] to Richmond",0,NA,11.2,""
"03-Nov-2014","07:14","08:02","Richmond to Canary Wharf [London Underground]",0,NA,11.2,""
"14-Dec-2014","20:46","","Bus journey, route 391",0,NA,2,NA
"14-Dec-2014","19:43","20:44","High Street Kensington to Gunnersbury",0,NA,11.2,NA
"14-Dec-2014","17:05","","Bus journey, route 9",0,NA,2,NA
"14-Dec-2014","13:56","14:33","Richmond to Hyde Park Corner",0,NA,11.2,NA
"13-Dec-2014","16:17","16:23","Kew Gardens to Richmond",0,NA,11.2,NA
"13-Dec-2014","13:51","13:58","Richmond to Kew Gardens",0,NA,11.2,NA
"12-Dec-2014","18:52","19:20","Waterloo (platforms 12-19) [National Rail] to Richmond",0,NA,11.2,NA
"12-Dec-2014","17:38","17:54","Canary Wharf [London Underground] to Waterloo (Jubilee line entrance)",0,NA,11.2,NA
"12-Dec-2014","07:33","08:19","Richmond to Canary Wharf [London Underground]",0,NA,11.2,NA
"11-Dec-2014","17:56","18:42","Canary Wharf [London Underground] to Richmond",0,NA,11.2,NA
