"station","long","lat"
"Mortlake",-0.2672,51.4682
"Motspur Park",-0.2397,51.3958
"Mottingham",0.0504,51.4401
"Neasden",-0.2503,51.5542
"New Barnet",-0.1738,51.6488
"New Beckenham",-0.0348,51.4164
"New Cross",-0.0325,51.476
"New Cross Gate",-0.0406,51.4752
"New Eltham",0.0705,51.438
"New Malden",-0.256,51.4039
"New Southgate",-0.1432,51.6142
"Norbiton",-0.2838,51.4124
"Norbury",-0.1214,51.4114
"North Dulwich",-0.0887,51.4543
"North Greenwich",0.003611,51.500556
"North Harrow",-0.3625,51.585
"North Sheen",-0.2865,51.4656
"North Wembley",-0.304,51.5627
"Northolt Park",-0.3595,51.5574
"Northumberland Park",-0.0551,51.5986
"Northwick Park",-0.3186,51.5786
"Northwood Hills",-0.4092,51.6006
"Northwood",-0.4244,51.6109
"Norwood Junction",-0.0749,51.3971
"Notting Hill Gate",-0.197,51.509
"Nunhead",-0.0527,51.4671
"Oakleigh Park",-0.1667,51.6379
"Ockendon",0.29,51.52
"Old Street",-0.085,51.5258
"Orpington",0.0885,51.3741
"Oxford Circus",-0.1416,51.51519
"PaddingtonLondon",-0.1769,51.5171
"Palmers Green",-0.1102,51.6184
"Peckham Rye",-0.0691,51.4701
"Penge East",-0.0537,51.4191
"Penge West",-0.0606,51.4174
"Petts Wood",0.0742,51.3889
"Piccadilly Circus",-0.134,51.5101
"Pinner",-0.3806,51.5928
"Plaistow",0.01722,51.53138
"Plumstead",0.0844,51.4897
"Ponders End",-0.0349,51.642
"Preston Road",-0.2953,51.5722
"Purfleet",0.237,51.481
"Purley",-0.1135,51.3377
"Purley Oaks",-0.0987,51.3469
"Putney",-0.2162,51.4611
"Quainton Road",-0.92966,51.86381
"Queen's Park",-0.2053,51.5341
"Queens Road Peckham",-0.0573,51.4736
"Queensbury",-0.28621,51.59417
"Queenstown Road",-0.147,51.4748
"Rainham",0.1905,51.5169
"Ravensbourne",-0.0075,51.4141
"Ravenscourt Park",-0.2358,51.4942
"Rayners Lane",-0.3714,51.5753
"Raynes Park",-0.2299,51.4094
"Rectory Road",-0.0681,51.5584
"Reedham",-0.1233,51.3313
"Regent's Park",-0.1464,51.5235
"Richmond",-0.3014,51.463
"Rickmansworth",-0.4733,51.6402
"Riddlesdown",-0.0996,51.3323
"Romford",0.1827,51.5749
"Rotherhithe",-0.0522,51.5008
"Royal Oak",-0.188056,51.519167
"Ruislip Manor",-0.4125,51.5733
"Ruislip",-0.4211,51.5714
"Sanderstead",-0.094,51.3484
"Selhurst",-0.0883,51.3921
"Seven Kings",0.0969,51.5635
"Seven Sisters",-0.0756,51.5839
"Shadwell",-0.0569,51.5112
"Shenfield",0.3328,51.6331
"Shepherd's Bush",-0.2175,51.5051
"Shepherd's Bush Market",-0.2264,51.5058
"Shoreditch High Street",-0.0768,51.5234
"Shortlands",0.0019,51.4058
"Sidcup",0.104,51.4338
"Silver Street",-0.0676,51.6149
"Slade Green",0.1904,51.4678
"Sloane Square",-0.1566,51.4925
"South Acton",-0.2707,51.4994
"South Bermondsey",-0.0548,51.4887
"South Croydon",-0.0933,51.3629
"South Greenford",-0.3369,51.5342
"South Hampstead",-0.1788,51.5414
"South Kensington",-0.1738,51.4941
"South Kenton",-0.3086,51.5703
"South Merton",-0.2062,51.403
"South Ruislip",-0.3988,51.5569
"South Tottenham",-0.072,51.5802
"Southall",-0.3783,51.506
"Southbury",-0.0524,51.6488
"Southwark",-0.105,51.503
"St Helier",-0.1985,51.3901
"St James Street",-0.0323,51.581
"St Johns",-0.0225,51.4691
"St Margarets",-0.3204,51.455
"St Mary Cray",0.1058,51.3947
"St Pancras",-0.125,51.53
"St PancrasLondon",-0.1261,51.5314
"St. James's Park",-0.1344,51.4994
"St. John's Wood",-0.1742,51.5347
"Stamford Hill",-0.0761,51.5749
"Stanmore",-0.3028,51.6194
"Stepney Green",-0.046389,51.521944
"Stoke Mandeville",-0.784,51.788
"Stoke Newington",-0.0727,51.5651
"Stonebridge Park",-0.2754,51.544
"Stoneleigh",-0.2487,51.3637
"Stratford International",-0.0087,51.5448
"Strawberry Hill",-0.3388,51.4389
"Streatham Common",-0.1359,51.4187
"Streatham Hill",-0.1271,51.438
"Streatham",-0.1311,51.426
"Sudbury & Harrow Road",-0.3167,51.554
"Sudbury Hill Harrow",-0.3358,51.5589
"Sundridge Park",0.0221,51.4137
"Surbiton",-0.3044,51.3926
"Surrey Quays",-0.0477,51.4933
"Sutton",-0.1903,51.3601
"Sutton Common",-0.1964,51.3751
"Swanley",0.169,51.3934
"Swiss Cottage",-0.1747,51.5431
"Sydenham",-0.0545,51.4268
"Sydenham Hill",-0.0802,51.4326
"Syon Lane",-0.3248,51.4818
"Tadworth",-0.236,51.292
"Tattenham Corner",-0.2426,51.3092
"Teddington",-0.3325,51.4247
"Temple",-0.1144,51.5111
"Thames Ditton",-0.3383,51.3886
"Theobalds Grove",-0.0327,51.6937
"Thornton Heath",-0.1004,51.3985
"Tolworth",-0.2793,51.3771
"Tooting",-0.1603,51.4196
"Tottenham Court Road",-0.1309,51.5162
"Tottenham Hale",-0.0611,51.5902
"Tower Gateway",-0.0746,51.5104
"Tower Hill",-0.076,51.51
"Tulse Hill",-0.1049,51.4399
"Turkey Street",-0.0474,51.6725
"Turnham Green",-0.255,51.49527
"Twickenham",-0.3296,51.4504
"Upminster",0.2509,51.5588
"Upper Holloway",-0.1298,51.5638
"Upper Warlingham",-0.078,51.3085
"Upton Park",0.0344,51.535
"Uxbridge Road",-0.2169,51.5054
"Uxbridge",-0.4783,51.5459
"Vauxhall",-0.1229,51.4854
"VauxhallLondon",-0.1229,51.4859
"Verney Junction",-0.93,51.9406
"VictoriaLondon",-0.1448,51.4966
"Waddesdon Road",-0.9468,51.8519
"Waddesdon",-0.9021,51.8554
"Waddon",-0.117,51.3674
"Wallington",-0.1533,51.3592
"Waltham Cross",-0.0266,51.6851
"Walthamstow Central",-0.0192,51.5831
"Walthamstow Queen's Road",-0.024,51.5817
"Wandsworth Common",-0.1635,51.4464
"Wandsworth Road",-0.139,51.4702
"Wandsworth Town",-0.1879,51.461
"Wanstead Park",0.0264,51.5518
"Wapping",-0.0558,51.5044
"Warwick Avenue",-0.183677,51.52327
"Waterloo EastLondon",-0.1101,51.5041
"Waterloo",-0.113,51.5025
"WaterlooLondon",-0.1132,51.5031
"Watford Central",-0.39789,51.656444
"Watford High Street",-0.3918,51.6525
"Watford Junction",-0.3958,51.6635
"Watford Vicarage Road",-0.409284,51.646626
"Watford",-0.4175,51.6575
"Welling",0.1017,51.4647
"Wembley Central",-0.29663,51.552633
"Wembley Park",-0.2794,51.5636
"Wembley Stadium",-0.2863,51.5543
"Wendover",-0.747,51.762
"West Brompton",-0.1957,51.4866
"West Croydon",-0.102,51.3785
"West Drayton",-0.4719,51.5101
"West Dulwich",-0.0906,51.4409
"West Ealing",-0.3203,51.5137
"West Ham",0.0066,51.5284
"West Hampstead",-0.1913,51.5473
"West Hampstead Thameslink",-0.19183,51.54848
"West Harrow",-0.3533,51.5797
"West Norwood",-0.1035,51.4318
"West Ruislip",-0.4376,51.5696
"West Sutton",-0.2051,51.3662
"West Wickham",-0.0145,51.3813
"Westbourne Park",-0.2011,51.5211
"Westcombe Park",0.0187,51.4842
"Westcott",-0.9556,51.845
"Westminster",-0.125,51.501
"White Hart Lane",-0.0711,51.6049
"Whitechapel",-0.061,51.519
"Whitton",-0.3578,51.4495
"Whyteleafe",-0.0811,51.3097
"Whyteleafe South",-0.0768,51.3034
"Willesden Green",-0.2217,51.5492
"Willesden Junction",-0.2439,51.5324
"Wimbledon",-0.2043,51.4232
"Wimbledon Chase",-0.2142,51.4095
"Winchmore Hill",-0.1013,51.6341
"Winslow Road",-0.9104,51.9277
"Wood Lane",-0.2250306,51.5089917
"Wood Siding",-1.0244,51.833
"Wood Street",-0.0021,51.5864
"Woodgrange Park",0.0454,51.5487
"Woodmansterne",-0.1539,51.3192
"Woolwich Arsenal",0.0694,51.4898
"Woolwich Dockyard",0.0536,51.4913
"Worcester Park",-0.2412,51.3804
"Wotton",-0.9926,51.8333
"Leicester Square",-0.1281,51.5114
"Kennington",-0.10555,51.48861
"Warren Street",-0.13833,51.52472
"Covent Garden",-0.1243,51.513
"Mornington Crescent",-0.1386,51.5344
"Camden Town",-0.1427,51.5394
"Pimlico",-0.1333,51.4894
"Goodge Street",-0.13444,51.52083
"Hyde Park Corner",-0.1528,51.5028
"Earls Court",-0.1947,51.4913
"Hounslow East",-0.3563,51.473
"Angel",-0.106,51.532
