"station"	"long"	"lat"
"221"	"Kentish Town West"	-0.1468	51.5468
"222"	"Kenton"	-0.3167	51.5818
"223"	"Kew Bridge"	-0.2878	51.4895
"224"	"Kew Gardens"	-0.2849	51.4772
"225"	"Kidbrooke"	0.0273	51.4621
"226"	"Kilburn High Road"	-0.1925	51.5373
"227"	"Kilburn Park"	-0.194063	51.535124
"228"	"Kilburn"	-0.2047	51.5472
"229"	"Kings Cross"	-0.1241	51.5302
"230"	"Kingsbury"	-0.2786	51.5847
"231"	"Kingston"	-0.3019	51.4129
"232"	"Kingswood"	-0.211	51.295
"233"	"Knockholt"	0.1307	51.3459
"234"	"Ladbroke Grove"	-0.2106	51.5172
"235"	"Ladywell"	-0.0192	51.4562
"236"	"Lambeth North"	-0.1118	51.499
"237"	"Latimer Road"	-0.217	51.514
"238"	"Lee"	0.0128	51.4497
"239"	"Lewisham"	-0.0141	51.4658
"240"	"Leyton Midland Road"	-0.0072	51.5693
"241"	"Leytonstone High Road"	0.0073	51.5634
"242"	"Limehouse"	-0.0402	51.5126
"243"	"Liverpool Street"	-0.0813	51.5186
"244"	"Liverpool StreetLondon"	-0.0819	51.5185
"245"	"London Bridge"	-0.086	51.505
"246"	"London BridgeLondon"	-0.0851	51.5053
"247"	"London City Airport"	0.048889	51.503611
"248"	"London Fields"	-0.0577	51.5407
"249"	"London Paddington"	-0.1774	51.5173
"250"	"London Victoria"	-0.1448	51.4966
"251"	"London Waterloo"	-0.1132	51.5031
"252"	"Lord's"	-0.16917	51.53
"253"	"Loughborough Junction"	-0.102	51.4661
"254"	"Lower Sydenham"	-0.0336	51.4245
"255"	"Maida Vale"	-0.185565	51.529785
"256"	"Malden Manor"	-0.2618	51.3847
"257"	"Manor Park"	0.0463	51.5526
"258"	"Mansion House"	-0.0941	51.5122
"259"	"Marlborough Road"	-0.17667	51.53611
"260"	"Maryland"	0.0059	51.546
"261"	"Marylebone"	-0.1634	51.5223
"262"	"MaryleboneLondon"	-0.163	51.5231
"263"	"Maze Hill"	0.0032	51.483
"264"	"Mile End"	-0.033	51.525
"265"	"Mill Hill Broadway"	-0.2491	51.6128
"266"	"Mitcham Eastfields"	-0.1547	51.4077
"267"	"Mitcham Junction"	-0.1576	51.393
"268"	"Moor Park"	-0.431	51.63
"269"	"Moorgate"	-0.0886	51.5186
"270"	"MoorgateLondon"	-0.0896	51.5187
"271"	"Morden South"	-0.199	51.3965
"272"	"Mortlake"	-0.2672	51.4682
"273"	"Motspur Park"	-0.2397	51.3958
"274"	"Mottingham"	0.0504	51.4401
"275"	"Neasden"	-0.2503	51.5542
"276"	"New Barnet"	-0.1738	51.6488
"277"	"New Beckenham"	-0.0348	51.4164
"278"	"New Cross"	-0.0325	51.476
"279"	"New Cross Gate"	-0.0406	51.4752
"280"	"New Eltham"	0.0705	51.438
"281"	"New Malden"	-0.256	51.4039
"282"	"New Southgate"	-0.1432	51.6142
"283"	"Norbiton"	-0.2838	51.4124
"284"	"Norbury"	-0.1214	51.4114
"285"	"North Dulwich"	-0.0887	51.4543
"286"	"North Greenwich"	0.003611	51.500556
"287"	"North Harrow"	-0.3625	51.585
"288"	"North Sheen"	-0.2865	51.4656
"289"	"North Wembley"	-0.304	51.5627
"290"	"Northolt Park"	-0.3595	51.5574
"291"	"Northumberland Park"	-0.0551	51.5986
"292"	"Northwick Park"	-0.3186	51.5786
"293"	"Northwood Hills"	-0.4092	51.6006
"294"	"Northwood"	-0.4244	51.6109
"295"	"Norwood Junction"	-0.0749	51.3971
"296"	"Notting Hill Gate"	-0.197	51.509
"297"	"Nunhead"	-0.0527	51.4671
"298"	"Oakleigh Park"	-0.1667	51.6379
"299"	"Ockendon"	0.29	51.52
"300"	"Old Street"	-0.085	51.5258
"301"	"Orpington"	0.0885	51.3741
"302"	"Oxford Circus"	-0.1416	51.51519
"303"	"PaddingtonLondon"	-0.1769	51.5171
"304"	"Palmers Green"	-0.1102	51.6184
"305"	"Peckham Rye"	-0.0691	51.4701
"306"	"Penge East"	-0.0537	51.4191
"307"	"Penge West"	-0.0606	51.4174
"308"	"Petts Wood"	0.0742	51.3889
"309"	"Piccadilly Circus"	-0.134	51.5101
"310"	"Pinner"	-0.3806	51.5928
"311"	"Plaistow"	0.01722	51.53138
"312"	"Plumstead"	0.0844	51.4897
"313"	"Ponders End"	-0.0349	51.642
"314"	"Preston Road"	-0.2953	51.5722
"315"	"Purfleet"	0.237	51.481
"316"	"Purley"	-0.1135	51.3377
"317"	"Purley Oaks"	-0.0987	51.3469
"318"	"Putney"	-0.2162	51.4611
"319"	"Quainton Road"	-0.92966	51.86381
"320"	"Queen's Park"	-0.2053	51.5341
"321"	"Queens Road Peckham"	-0.0573	51.4736
"322"	"Queensbury"	-0.28621	51.59417
"323"	"Queenstown Road"	-0.147	51.4748
"324"	"Rainham"	0.1905	51.5169
"325"	"Ravensbourne"	-0.0075	51.4141
"326"	"Ravenscourt Park"	-0.2358	51.4942
"327"	"Rayners Lane"	-0.3714	51.5753
"328"	"Raynes Park"	-0.2299	51.4094
"329"	"Rectory Road"	-0.0681	51.5584
"330"	"Reedham"	-0.1233	51.3313
"331"	"Regent's Park"	-0.1464	51.5235
